character_name,world_name,character_gender,character_class,character_level,character_guild_name,cash_item_equipment_part,cash_item_name,cash_item_label
솝상,크로아,여,비숍,296,생글,무기,샤키엘의 검,
솝상,크로아,여,비숍,296,생글,반지,일루전 링 : 레이스캡 검은색고양이,
테룽이,이노시스,남,카이저,296,프라하,모자,냥냥 머리띠,
테룽이,이노시스,남,카이저,296,프라하,한벌옷,별을 담은 밤하늘,
테룽이,이노시스,남,카이저,296,프라하,신발,별을 담은 신,
테룽이,이노시스,남,카이저,296,프라하,망토,밤 비단 두루마기,
테룽이,이노시스,남,카이저,296,프라하,무기,천년의 약속,
보마노랑이,제니스,여,보우마스터,296,달치즈,모자,꿈꾸는 애벌레 더듬이,
보마노랑이,제니스,여,보우마스터,296,달치즈,얼굴장식,스펙터 가면,
보마노랑이,제니스,여,보우마스터,296,달치즈,한벌옷,꿈꾸는 애벌레 배,
보마노랑이,제니스,여,보우마스터,296,달치즈,신발,꿈꾸는 애벌레 장화,
보마노랑이,제니스,여,보우마스터,296,달치즈,장갑,꿈꾸는 애벌레 장갑,
보마노랑이,제니스,여,보우마스터,296,달치즈,망토,꿈꾸는 애벌레 꼬리,
보마노랑이,제니스,여,보우마스터,296,달치즈,무기,꿈틀꿈틀 꿈사과,
보마노랑이,제니스,여,보우마스터,296,달치즈,반지,싱크 말풍선 반지,
보마노랑이,제니스,여,보우마스터,296,달치즈,반지,싱크 명찰 반지,
카사,스카니아,남,팬텀,296,악마,모자,하보크 뿔,
카사,스카니아,남,팬텀,296,악마,얼굴장식,카리아인 메이크업,
카사,스카니아,남,팬텀,296,악마,눈장식,LED 선글라스,
카사,스카니아,남,팬텀,296,악마,상의,검은 정장,
카사,스카니아,남,팬텀,296,악마,하의,검은 정장 바지,
카사,스카니아,남,팬텀,296,악마,신발,검은색 정장 구두,
카사,스카니아,남,팬텀,296,악마,장갑,아그니스 장갑,
카사,스카니아,남,팬텀,296,악마,망토,영원 궤도,마스터라벨
카사,스카니아,남,팬텀,296,악마,무기,절망의 불꽃,스페셜라벨
헨쇼,엘리시움,여,아델,296,송이,모자,메이플 바캉스 모자,
헨쇼,엘리시움,여,아델,296,송이,눈장식,투명 안경,
헨쇼,엘리시움,여,아델,296,송이,한벌옷,메이플 바캉스 의상,
헨쇼,엘리시움,여,아델,296,송이,신발,메이플 바캉스 샌들,
헨쇼,엘리시움,여,아델,296,송이,망토,은하의 파편,
헨쇼,엘리시움,여,아델,296,송이,무기,약속의 시간,
쀼챠,루나,기타,제로,296,Cross,모자,투명 모자,
쀼챠,루나,기타,제로,296,Cross,한벌옷,드리밍 유니콩,
쀼챠,루나,기타,제로,296,Cross,신발,드리밍 매직,
쀼챠,루나,기타,제로,296,Cross,망토,투명 망토,
쀼챠,루나,기타,제로,296,Cross,무기,무한성단,마스터라벨
쀼챠,루나,기타,제로,296,Cross,반지,싱크 말풍선 반지,
쀼챠,루나,기타,제로,296,Cross,반지,싱크 명찰 반지,
뎅아인,루나,남,에반,295,Frozen,모자,레터럴 도그마,
뎅아인,루나,남,에반,295,Frozen,상의,토끼가방 메고,
뎅아인,루나,남,에반,295,Frozen,신발,투명 신발,
뎅아인,루나,남,에반,295,Frozen,망토,영원의 시계태엽,마스터라벨
뎅아인,루나,남,에반,295,Frozen,무기,투명 무기,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,모자,오늘은 강아지!,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,얼굴장식,메론맛 아이스바,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,한벌옷,세일러복,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,신발,진 천사 수면양말,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,장갑,투명 장갑,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,망토,아기강아지 쏭이,
케인WWE챔프,엘리시움,남,배틀메이지,295,루밍,무기,더키 튜브,
갓지훈,베라,남,나이트로드,295,반달,모자,바크 모자,
갓지훈,베라,남,나이트로드,295,반달,얼굴장식,탱글 빵 얼굴,
갓지훈,베라,남,나이트로드,295,반달,한벌옷,바크 슈트,
갓지훈,베라,남,나이트로드,295,반달,신발,[BTS] 사일런트 나이트,
갓지훈,베라,남,나이트로드,295,반달,장갑,바크 장갑,
갓지훈,베라,남,나이트로드,295,반달,망토,바크 날개,
갓지훈,베라,남,나이트로드,295,반달,무기,투명 무기,
갓지훈,베라,남,나이트로드,295,반달,반지,일루전 링 : 보따리 원숭이,
o우르키오라o,제니스,남,은월,295,에우로파,모자,메르헨 프린스,마스터라벨
o우르키오라o,제니스,남,은월,295,에우로파,얼굴장식,홍조 깨비깨비,
o우르키오라o,제니스,남,은월,295,에우로파,눈장식,투명 안경,
o우르키오라o,제니스,남,은월,295,에우로파,귀고리,투명 귀고리,
o우르키오라o,제니스,남,은월,295,에우로파,한벌옷,별의 소원,마스터라벨
o우르키오라o,제니스,남,은월,295,에우로파,신발,카트시 부츠,마스터라벨
o우르키오라o,제니스,남,은월,295,에우로파,장갑,하트리본 글러브,
o우르키오라o,제니스,남,은월,295,에우로파,망토,메르헨 캐슬,마스터라벨
o우르키오라o,제니스,남,은월,295,에우로파,무기,페어리 래빗,마스터라벨
o우르키오라o,제니스,남,은월,295,에우로파,반지,경험치 부스트 링(15%),
o우르키오라o,제니스,남,은월,295,에우로파,반지,혈맹의 반지,
o우르키오라o,제니스,남,은월,295,에우로파,반지,메이프릴 명찰 반지,
o우르키오라o,제니스,남,은월,295,에우로파,반지,메이프릴 말풍선 반지,
최무등,베라,여,패스파인더,295,순애,모자,커스드 헌터 후드,
최무등,베라,여,패스파인더,295,순애,한벌옷,커스드 헌터,
최무등,베라,여,패스파인더,295,순애,신발,투명 신발,
최무등,베라,여,패스파인더,295,순애,망토,사라사,
최무등,베라,여,패스파인더,295,순애,무기,모험가 패스파인더 활,
압도,베라,여,듀얼블레이더,295,꼬마별,모자,쫑긋 레이스캡,스페셜라벨
압도,베라,여,듀얼블레이더,295,꼬마별,한벌옷,바나나 푸딩,스페셜라벨
압도,베라,여,듀얼블레이더,295,꼬마별,신발,투명 신발,
압도,베라,여,듀얼블레이더,295,꼬마별,망토,퓨어 딜라이트,스페셜라벨
압도,베라,여,듀얼블레이더,295,꼬마별,무기,투명 무기,
벨벨,엘리시움,남,스트라이커,295,아르테미스,모자,티파티 왕리본,레드라벨
벨벨,엘리시움,남,스트라이커,295,아르테미스,얼굴장식,은은한 발그레,
벨벨,엘리시움,남,스트라이커,295,아르테미스,한벌옷,환상 에스텔,스페셜라벨
벨벨,엘리시움,남,스트라이커,295,아르테미스,신발,별빛 걸음,마스터라벨
벨벨,엘리시움,남,스트라이커,295,아르테미스,장갑,투명 장갑,
벨벨,엘리시움,남,스트라이커,295,아르테미스,망토,피어라 눈꽃,스페셜라벨
벨벨,엘리시움,남,스트라이커,295,아르테미스,무기,야누스의 검,
벨벨,엘리시움,남,스트라이커,295,아르테미스,반지,빅토리 명찰 반지,
벨벨,엘리시움,남,스트라이커,295,아르테미스,반지,빅토리 말풍선 반지,
벨벨,엘리시움,남,스트라이커,295,아르테미스,반지,레인보우 스타 반지,
징베,크로아,남,캡틴,295,간달프,모자,가면신사의 모자,
징베,크로아,남,캡틴,295,간달프,눈장식,투명 안경,
징베,크로아,남,캡틴,295,간달프,귀고리,[BTS] 블랙 샹들리에,
징베,크로아,남,캡틴,295,간달프,상의,검은 정장,
징베,크로아,남,캡틴,295,간달프,하의,검은 정장 바지,
징베,크로아,남,캡틴,295,간달프,신발,별빛 걸음,마스터라벨
징베,크로아,남,캡틴,295,간달프,장갑,투명 장갑,
징베,크로아,남,캡틴,295,간달프,망토,악몽 경계,마스터라벨
징베,크로아,남,캡틴,295,간달프,무기,죽음의 데스,마스터라벨
징베,크로아,남,캡틴,295,간달프,반지,DREAMER 말풍선 반지,
징베,크로아,남,캡틴,295,간달프,반지,DREAMER 명찰 반지,
징베,크로아,남,캡틴,295,간달프,반지,혈맹의 반지,
징베,크로아,남,캡틴,295,간달프,반지,경험치 부스트 링(15%),
김솔밤,베라,남,다크나이트,295,Real,모자,투명 모자,
김솔밤,베라,남,다크나이트,295,Real,얼굴장식,투명 얼굴장식,
김솔밤,베라,남,다크나이트,295,Real,눈장식,투명 안경,
김솔밤,베라,남,다크나이트,295,Real,귀고리,투명 귀고리,
김솔밤,베라,남,다크나이트,295,Real,한벌옷,블랙 삼각 수영복,
김솔밤,베라,남,다크나이트,295,Real,신발,투명 신발,
김솔밤,베라,남,다크나이트,295,Real,장갑,투명 장갑,
김솔밤,베라,남,다크나이트,295,Real,망토,투명 망토,
김솔밤,베라,남,다크나이트,295,Real,무기,마스터 타임,마스터라벨
김솔밤,베라,남,다크나이트,295,Real,반지,경험치 부스트 링(15%),
김솔밤,베라,남,다크나이트,295,Real,반지,혈맹의 반지,
김솔밤,베라,남,다크나이트,295,Real,반지,히어로즈 검은 마법사 말풍선 반지,
김솔밤,베라,남,다크나이트,295,Real,반지,메이플 아이돌 명찰 반지,
혜넹,이노시스,여,일리움,295,악동,모자,은호,
혜넹,이노시스,여,일리움,295,악동,한벌옷,나이트 매지션,
혜넹,이노시스,여,일리움,295,악동,신발,투명 신발,
혜넹,이노시스,여,일리움,295,악동,망토,수호 날개,스페셜라벨
혜넹,이노시스,여,일리움,295,악동,무기,매직 워드,
빅시커,베라,여,엔젤릭버스터,295,반달,무기,영웅 아란 폴암,
빅시커,베라,여,엔젤릭버스터,295,반달,반지,메이플 아이돌 말풍선 반지,
빅시커,베라,여,엔젤릭버스터,295,반달,반지,메이플 아이돌 명찰 반지,
몽둥이여사님,루나,여,비숍,295,Cross,모자,수박 머리띠,
몽둥이여사님,루나,여,비숍,295,Cross,한벌옷,수박 샤베트,
몽둥이여사님,루나,여,비숍,295,Cross,신발,환상 해변가 슈즈,
몽둥이여사님,루나,여,비숍,295,Cross,망토,솜 눈꽃,
몽둥이여사님,루나,여,비숍,295,Cross,무기,봄 바람개비,
별왕,크로아,여,카데나,295,Alpha,모자,신비한 모자,블랙라벨
별왕,크로아,여,카데나,295,Alpha,눈장식,동글이 안경,
별왕,크로아,여,카데나,295,Alpha,한벌옷,어둠의 심판자,스페셜라벨
별왕,크로아,여,카데나,295,Alpha,신발,카멜리아 구두,블랙라벨
별왕,크로아,여,카데나,295,Alpha,망토,검은 늑대 예프넨 코트,
별왕,크로아,여,카데나,295,Alpha,무기,용랑제구봉,
걍조,스카니아,남,듀얼블레이더,295,사랑,모자,매지컬 리본,스페셜라벨
걍조,스카니아,남,듀얼블레이더,295,사랑,얼굴장식,홍조 깨비깨비,
걍조,스카니아,남,듀얼블레이더,295,사랑,한벌옷,차원 감시자,
걍조,스카니아,남,듀얼블레이더,295,사랑,신발,별빛 걸음,마스터라벨
걍조,스카니아,남,듀얼블레이더,295,사랑,장갑,투명 장갑,
걍조,스카니아,남,듀얼블레이더,295,사랑,망토,은하수의 밤,스페셜라벨
걍조,스카니아,남,듀얼블레이더,295,사랑,무기,베에모트의 검,
걍조,스카니아,남,듀얼블레이더,295,사랑,반지,일루전 링 : 토끼 허스키,
식초,크로아,남,듀얼블레이더,295,지존,모자,화이트초코 바니,스페셜라벨
식초,크로아,남,듀얼블레이더,295,지존,얼굴장식,별나라 깨비깨비,
식초,크로아,남,듀얼블레이더,295,지존,눈장식,투명 안경,
식초,크로아,남,듀얼블레이더,295,지존,한벌옷,팅키 베이스볼,레드라벨
식초,크로아,남,듀얼블레이더,295,지존,신발,투명 신발,
식초,크로아,남,듀얼블레이더,295,지존,망토,토끼곰 캠핑가방,블랙라벨
식초,크로아,남,듀얼블레이더,295,지존,무기,슈퍼스타 마이크,스페셜라벨
식초,크로아,남,듀얼블레이더,295,지존,반지,글로리 명찰 반지,
식초,크로아,남,듀얼블레이더,295,지존,반지,글로리 말풍선 반지,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,모자,매직 유니콩,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,얼굴장식,마녀고양이 얼굴장식,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,눈장식,머스커레이드,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,한벌옷,마농의 꿈,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,신발,정열적인 스텝,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,망토,웡키의 날개,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,무기,슈가 크러쉬,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,반지,V 명찰 반지,
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,반지,레인보우 스타 반지,
허경영,루나,남,메카닉,295,xinkule,모자,달콤 호박별,스페셜라벨
허경영,루나,남,메카닉,295,xinkule,얼굴장식,별나라 깨비깨비,
허경영,루나,남,메카닉,295,xinkule,눈장식,엘 클리어 샤인,
허경영,루나,남,메카닉,295,xinkule,한벌옷,하트냥이 한벌옷,
허경영,루나,남,메카닉,295,xinkule,신발,투명 신발,
허경영,루나,남,메카닉,295,xinkule,망토,하트냥이 낚싯대,
허경영,루나,남,메카닉,295,xinkule,무기,하트냥이 그릇,
광선,엘리시움,남,제논,295,토끼,모자,매지컬 리본,스페셜라벨
광선,엘리시움,남,제논,295,토끼,한벌옷,캐모마일 티타임,
광선,엘리시움,남,제논,295,토끼,신발,별빛 걸음,마스터라벨
광선,엘리시움,남,제논,295,토끼,망토,오르비스 프레이,
광선,엘리시움,남,제논,295,토끼,무기,투명 무기,
광선,엘리시움,남,제논,295,토끼,반지,오베론 말풍선 반지,
광선,엘리시움,남,제논,295,토끼,반지,오베론 명찰 반지,
보나냥냥,베라,남,제논,295,여백,모자,기억의 갈래,
보나냥냥,베라,남,제논,295,여백,얼굴장식,인형핑크,
보나냥냥,베라,남,제논,295,여백,눈장식,투명 안경,
보나냥냥,베라,남,제논,295,여백,귀고리,투명 귀고리,
보나냥냥,베라,남,제논,295,여백,한벌옷,호수 물결,
보나냥냥,베라,남,제논,295,여백,신발,신기루 자욱,
보나냥냥,베라,남,제논,295,여백,장갑,투명 장갑,
보나냥냥,베라,남,제논,295,여백,망토,에르다의 빛,
보나냥냥,베라,남,제논,295,여백,방패,투명 방패,
보나냥냥,베라,남,제논,295,여백,무기,망각의 등불,
보나냥냥,베라,남,제논,295,여백,반지,메이플 아이돌 명찰 반지,
보나냥냥,베라,남,제논,295,여백,반지,메이플 아이돌 말풍선 반지,
보나냥냥,베라,남,제논,295,여백,반지,혈맹의 반지,
Lacheln,엘리시움,남,은월,294,High,모자,투명 모자,
Lacheln,엘리시움,남,은월,294,High,눈장식,투명 안경,
Lacheln,엘리시움,남,은월,294,High,한벌옷,로얄 미스틱 제복,
Lacheln,엘리시움,남,은월,294,High,신발,투명 신발,
Lacheln,엘리시움,남,은월,294,High,망토,투명 망토,
Lacheln,엘리시움,남,은월,294,High,무기,투명 무기,
Lacheln,엘리시움,남,은월,294,High,반지,일루전 링 : 모자 원숭이,
시바개,오로라,남,아란,294,아름다움,모자,눈의 군주,마스터라벨
시바개,오로라,남,아란,294,아름다움,한벌옷,차원 감시자,
시바개,오로라,남,아란,294,아름다움,신발,투명 신발,
시바개,오로라,남,아란,294,아름다움,망토,은하수의 밤,스페셜라벨
시바개,오로라,남,아란,294,아름다움,무기,은반의 장미,블랙라벨
시바개,오로라,남,아란,294,아름다움,반지,아란 명찰 반지,
시바개,오로라,남,아란,294,아름다움,반지,아란 말풍선 반지,
가람,스카니아,남,소울마스터,294,찌찌찌,모자,투명 모자,
가람,스카니아,남,소울마스터,294,찌찌찌,얼굴장식,단감 홍조,
가람,스카니아,남,소울마스터,294,찌찌찌,눈장식,매력만쩜,
가람,스카니아,남,소울마스터,294,찌찌찌,귀고리,투명 귀고리,
가람,스카니아,남,소울마스터,294,찌찌찌,한벌옷,프레피 멜빵,
가람,스카니아,남,소울마스터,294,찌찌찌,신발,별빛 걸음,마스터라벨
가람,스카니아,남,소울마스터,294,찌찌찌,장갑,투명 장갑,
가람,스카니아,남,소울마스터,294,찌찌찌,망토,투명 망토,
가람,스카니아,남,소울마스터,294,찌찌찌,무기,야구배트,블랙라벨
가람,스카니아,남,소울마스터,294,찌찌찌,반지,혈맹의 반지,
가람,스카니아,남,소울마스터,294,찌찌찌,반지,경험치 부스트 링(15%),
엑스퍼트,크로아,남,바이퍼,294,트러플,모자,폴라 껨디 탈,
엑스퍼트,크로아,남,바이퍼,294,트러플,얼굴장식,홍조,
엑스퍼트,크로아,남,바이퍼,294,트러플,눈장식,투명 안경,
엑스퍼트,크로아,남,바이퍼,294,트러플,한벌옷,하프물범 인형옷,
엑스퍼트,크로아,남,바이퍼,294,트러플,신발,지식의 흐름,
엑스퍼트,크로아,남,바이퍼,294,트러플,장갑,하프물범 인형장갑,
엑스퍼트,크로아,남,바이퍼,294,트러플,망토,아기강아지 쏭이,
엑스퍼트,크로아,남,바이퍼,294,트러플,무기,작은 해달 조개,
Baddy,스카니아,남,메카닉,294,히히,모자,그늘의 전언,스페셜라벨
Baddy,스카니아,남,메카닉,294,히히,얼굴장식,낡은 해골 마스크,
Baddy,스카니아,남,메카닉,294,히히,눈장식,붕대 눈가리개,
Baddy,스카니아,남,메카닉,294,히히,한벌옷,다크 슈트,
Baddy,스카니아,남,메카닉,294,히히,신발,나폴레옹 부츠,
Baddy,스카니아,남,메카닉,294,히히,망토,마지막 심판,스페셜라벨
Baddy,스카니아,남,메카닉,294,히히,무기,피의 서약,마스터라벨
거대똥파리,스카니아,여,아델,294,수확,모자,투명 모자,
거대똥파리,스카니아,여,아델,294,수확,얼굴장식,카리아인 메이크업,
거대똥파리,스카니아,여,아델,294,수확,눈장식,네오 글라스,
거대똥파리,스카니아,여,아델,294,수확,귀고리,투명 귀고리,
거대똥파리,스카니아,여,아델,294,수확,한벌옷,귀신옷,
거대똥파리,스카니아,여,아델,294,수확,신발,검은 가죽부츠,
거대똥파리,스카니아,여,아델,294,수확,망토,에메랄드 날개,
거대똥파리,스카니아,여,아델,294,수확,무기,응가 막대,
거대똥파리,스카니아,여,아델,294,수확,반지,히어로즈 검은 마법사 말풍선 반지,
Kiss예진,엘리시움,여,아델,294,설레,모자,마이 퀸 티아라,
Kiss예진,엘리시움,여,아델,294,설레,얼굴장식,인형핑크,
Kiss예진,엘리시움,여,아델,294,설레,눈장식,투명 안경,
Kiss예진,엘리시움,여,아델,294,설레,귀고리,투명 귀고리,
Kiss예진,엘리시움,여,아델,294,설레,한벌옷,엔들리스 드림,
Kiss예진,엘리시움,여,아델,294,설레,신발,속박의 매듭,
Kiss예진,엘리시움,여,아델,294,설레,장갑,투명 장갑,
Kiss예진,엘리시움,여,아델,294,설레,망토,한밤의 축제,
Kiss예진,엘리시움,여,아델,294,설레,무기,악몽 시계,
Kiss예진,엘리시움,여,아델,294,설레,반지,혈맹의 반지,
Kiss예진,엘리시움,여,아델,294,설레,반지,경험치 부스트 링(15%),
Kiss예진,엘리시움,여,아델,294,설레,반지,DREAMER 명찰 반지,
Kiss예진,엘리시움,여,아델,294,설레,반지,DREAMER 말풍선 반지,
한계,스카니아,남,나이트로드,294,,모자,폭신 토끼 귀,
한계,스카니아,남,나이트로드,294,,눈장식,투명 안경,
한계,스카니아,남,나이트로드,294,,한벌옷,바닐라 푸딩,스페셜라벨
한계,스카니아,남,나이트로드,294,,신발,투명 신발,
한계,스카니아,남,나이트로드,294,,망토,투명 망토,
한계,스카니아,남,나이트로드,294,,무기,눈송이 캔디,스페셜라벨
한계,스카니아,남,나이트로드,294,,반지,쑥쑥 화분 말풍선 반지,
셀라스잠수정,루나,남,섀도어,294,리넘,모자,투명 모자,
셀라스잠수정,루나,남,섀도어,294,리넘,얼굴장식,스펙터 가면,
셀라스잠수정,루나,남,섀도어,294,리넘,상의,백수 트레이닝 상의,
셀라스잠수정,루나,남,섀도어,294,리넘,하의,운동회 우승팀 하의,
셀라스잠수정,루나,남,섀도어,294,리넘,신발,투명 신발,
셀라스잠수정,루나,남,섀도어,294,리넘,장갑,투명 장갑,
셀라스잠수정,루나,남,섀도어,294,리넘,망토,투명 망토,
아욤,루나,여,비숍,294,지존,모자,보송 꿀벌 머리띠,
아욤,루나,여,비숍,294,지존,얼굴장식,단감 홍조,
아욤,루나,여,비숍,294,지존,귀고리,투명 귀고리,
아욤,루나,여,비숍,294,지존,한벌옷,호박조심,
아욤,루나,여,비숍,294,지존,신발,반쪽 붕대,스페셜라벨
아욤,루나,여,비숍,294,지존,장갑,투명 장갑,
아욤,루나,여,비숍,294,지존,망토,푹신 솜꼬리,블랙라벨
아욤,루나,여,비숍,294,지존,무기,투명 무기,
시눙식,루나,남,호영,294,GAZUA,모자,메이플 노블 크라운,
시눙식,루나,남,호영,294,GAZUA,한벌옷,메이플 노블 슈트,
시눙식,루나,남,호영,294,GAZUA,신발,메이플 노블 슈즈,
시눙식,루나,남,호영,294,GAZUA,망토,메이플 노블 케이프,
시눙식,루나,남,호영,294,GAZUA,무기,마스터 어드벤처러 소드,
시눙식,루나,남,호영,294,GAZUA,반지,싱크 명찰 반지,
시눙식,루나,남,호영,294,GAZUA,반지,싱크 말풍선 반지,
반보,이노시스,남,섀도어,294,TheOne,모자,기억의 늪,
반보,이노시스,남,섀도어,294,TheOne,얼굴장식,인형핑크,
반보,이노시스,남,섀도어,294,TheOne,눈장식,동글이 안경,
반보,이노시스,남,섀도어,294,TheOne,귀고리,투명 귀고리,
반보,이노시스,남,섀도어,294,TheOne,한벌옷,다가간 구원,
반보,이노시스,남,섀도어,294,TheOne,신발,봉인된 기억,
반보,이노시스,남,섀도어,294,TheOne,장갑,투명 장갑,
반보,이노시스,남,섀도어,294,TheOne,망토,속박의 사슬,
반보,이노시스,남,섀도어,294,TheOne,무기,어둠 속 의식,
반보,이노시스,남,섀도어,294,TheOne,반지,메이플 아이돌 명찰 반지,
반보,이노시스,남,섀도어,294,TheOne,반지,혈맹의 반지,
반보,이노시스,남,섀도어,294,TheOne,반지,경험치 부스트 링(15%),
반보,이노시스,남,섀도어,294,TheOne,반지,메이플 아이돌 말풍선 반지,
검성OGC,엘리시움,남,히어로,294,,모자,투명 모자,
검성OGC,엘리시움,남,히어로,294,,얼굴장식,바람의 흉터,
검성OGC,엘리시움,남,히어로,294,,눈장식,투명 안경,
검성OGC,엘리시움,남,히어로,294,,한벌옷,모험가 히어로 아머,
검성OGC,엘리시움,남,히어로,294,,신발,모험가 히어로 부츠,
검성OGC,엘리시움,남,히어로,294,,망토,투명 망토,
검성OGC,엘리시움,남,히어로,294,,무기,모험가 히어로 소드,
검성OGC,엘리시움,남,히어로,294,,반지,히어로즈 검은 마법사 명찰 반지,
검성OGC,엘리시움,남,히어로,294,,반지,히어로즈 검은 마법사 말풍선 반지,
검성OGC,엘리시움,남,히어로,294,,반지,혈맹의 반지,
검성OGC,엘리시움,남,히어로,294,,반지,경험치 부스트 링(15%),
영준,엘리시움,여,엔젤릭버스터,294,BOSS,모자,트와일라잇 윙,마스터라벨
영준,엘리시움,여,엔젤릭버스터,294,BOSS,얼굴장식,인형핑크,
영준,엘리시움,여,엔젤릭버스터,294,BOSS,한벌옷,고요한 영혼,마스터라벨
영준,엘리시움,여,엔젤릭버스터,294,BOSS,신발,새벽 여운,마스터라벨
영준,엘리시움,여,엔젤릭버스터,294,BOSS,망토,영혼의 지평선,마스터라벨
영준,엘리시움,여,엔젤릭버스터,294,BOSS,무기,꽃피운 행복,블랙라벨
꼴깍,엘리시움,여,듀얼블레이더,294,소원,모자,꽃잎 리본,스페셜라벨
꼴깍,엘리시움,여,듀얼블레이더,294,소원,눈장식,매력만쩜,
꼴깍,엘리시움,여,듀얼블레이더,294,소원,한벌옷,바나나 푸딩,스페셜라벨
꼴깍,엘리시움,여,듀얼블레이더,294,소원,신발,투명 신발,
꼴깍,엘리시움,여,듀얼블레이더,294,소원,망토,한여름밤 나비,
꼴깍,엘리시움,여,듀얼블레이더,294,소원,무기,투명 무기,
꼴깍,엘리시움,여,듀얼블레이더,294,소원,반지,빅토리 명찰 반지,
꼴깍,엘리시움,여,듀얼블레이더,294,소원,반지,빅토리 말풍선 반지,
중뒹,엘리시움,여,비숍,294,바람,모자,폭신 토끼 귀,
중뒹,엘리시움,여,비숍,294,바람,눈장식,낭만 동글이 안경,
중뒹,엘리시움,여,비숍,294,바람,한벌옷,폭신 토끼,
중뒹,엘리시움,여,비숍,294,바람,신발,별빛 걸음,마스터라벨
중뒹,엘리시움,여,비숍,294,바람,망토,러블리 슈가 망토,
중뒹,엘리시움,여,비숍,294,바람,무기,동그란 소원,
중뒹,엘리시움,여,비숍,294,바람,반지,[BLACKPINK] PINK 말풍선 반지,
중뒹,엘리시움,여,비숍,294,바람,반지,[BLACKPINK] PINK 명찰 반지,
봉인,제니스,여,"아크메이지(불,독)",294,야호,모자,에델린,스페셜라벨
봉인,제니스,여,"아크메이지(불,독)",294,야호,한벌옷,퓨처 스피릿,스페셜라벨
봉인,제니스,여,"아크메이지(불,독)",294,야호,신발,별빛 걸음,마스터라벨
봉인,제니스,여,"아크메이지(불,독)",294,야호,망토,메이플 에코백,
봉인,제니스,여,"아크메이지(불,독)",294,야호,무기,투명 무기,
봉인,제니스,여,"아크메이지(불,독)",294,야호,반지,메이플 아이돌 말풍선 반지,
봉인,제니스,여,"아크메이지(불,독)",294,야호,반지,메이플 아이돌 명찰 반지,
작반,엘리시움,남,팬텀,294,Woden,모자,곰돌 스티치 캡,블랙라벨
