character_name,world_name,character_gender,character_class,character_level,character_guild_name,hair_name,hair_base_color,hair_mix_color,hair_mix_rate,face_name,face_base_color,face_mix_color,face_mix_rate,skin_name
곤주,엘리시움,남,"아크메이지(불,독)",295,슈가,검은색 단발 머리,검은색,갈색,10,깨도잉 얼굴,검은색,,0,태닝 피부
허경영,루나,남,메카닉,295,xinkule,검은색 시엘 헤어,검은색,주황색,23,졸린 얼굴,파란색,에메랄드,50,홍조 꽃잎 피부
광선,엘리시움,남,제논,295,토끼,초록색 흑사탕 헤어,초록색,보라색,50,깨도잉 얼굴,검은색,빨간색,15,뽀송 라벤더 피부
보나냥냥,베라,남,제논,295,여백,보라색 스테리 헤어,보라색,노란색,50,냉소적인 아잉 얼굴,파란색,에메랄드,36,홍조 꽃잎 피부
Lacheln,엘리시움,남,은월,294,High,검은색 에반 남자 머리,검은색,,0,멍한 오드아이 얼굴,검은색,자수정,20,창백 피부
시바개,오로라,남,아란,294,아름다움,초록색 라빈 헤어,초록색,보라색,58,차분한 루시드 얼굴,에메랄드,빨간색,50,뽀송 꽃잎 피부
가람,스카니아,남,소울마스터,294,찌찌찌,검은색 리커버 헤어,검은색,갈색,1,멍한 얼굴,파란색,검은색,50,뽀송 라벤더 피부
엑스퍼트,크로아,남,바이퍼,294,트러플,갈색 바이퍼 헤어,갈색,검은색,50,갈고리 얼굴,갈색,검은색,50,뽀송 꽃잎 피부
Baddy,스카니아,남,메카닉,294,히히,검은색 나랑 헤어,검은색,노란색,30,차차 얼굴,검은색,,0,뽀송 꽃잎 피부
거대똥파리,스카니아,여,아델,294,수확,초록색 산발머리,초록색,보라색,60,헤헤 얼굴,검은색,,0,뽀송 꽃잎 피부
Kiss예진,엘리시움,여,아델,294,설레,검은색 기사단장 오즈 헤어,검은색,파란색,50,조용한 눈 얼굴,에메랄드,보라색,99,뽀송 꽃잎 피부
한계,스카니아,남,나이트로드,294,,초록색 방울꽃 헤어,초록색,갈색,34,안보여요 얼굴,자수정,에메랄드,64,뽀송 라벤더 피부
셀라스잠수정,루나,남,섀도어,294,리넘,검은색 토벤 머리,검은색,,0,신중한 얼굴,검은색,,0,크림 피부
아욤,루나,여,비숍,294,지존,파란색 엘피네 헤어,파란색,갈색,50,조용한 눈 얼굴,에메랄드,갈색,73,홍조 라벤더 피부
시눙식,루나,남,호영,294,GAZUA,갈색 꼬마 웨이브 헤어,갈색,검은색,50,루시드 얼굴,빨간색,갈색,50,뽀송 꽃잎 피부
반보,이노시스,남,섀도어,294,TheOne,검은색 프리즘 헤어,검은색,갈색,50,조용한 눈 얼굴,검은색,,0,뽀송 꽃잎 피부
검성OGC,엘리시움,남,히어로,294,,갈색 히어로 헤어,갈색,,0,한결같은 신비얼굴,에메랄드,파란색,76,뽀송 꽃잎 피부
영준,엘리시움,여,엔젤릭버스터,294,BOSS,빨간색 아멜리 헤어,빨간색,파란색,50,조용한 눈 얼굴,검은색,,0,뽀송 꽃잎 피부
영준,엘리시움,여,엔젤릭버스터,294,BOSS,빨간색 아멜리 헤어,빨간색,파란색,50,조용한 눈 얼굴,에메랄드,자수정,50,뽀송 라벤더 피부
꼴깍,엘리시움,여,듀얼블레이더,294,소원,갈색 엘로디 헤어,갈색,파란색,59,조용한 눈 얼굴,빨간색,파란색,67,뽀송 라벤더 피부
중뒹,엘리시움,여,비숍,294,바람,검은색 하리화 헤어,검은색,빨간색,50,냉소적인 아잉 얼굴,자수정,에메랄드,50,뽀송 꽃잎 피부
봉인,제니스,여,"아크메이지(불,독)",294,야호,빨간색 스테리 헤어,빨간색,초록색,88,조용한 눈 얼굴,에메랄드,자수정,50,홍조 라벤더 피부
작반,엘리시움,남,팬텀,294,Woden,검은색 플로우 헤어,검은색,빨간색,10,졸린 얼굴,검은색,파란색,50,홍조 라벤더 피부
쩌네이런,베라,남,듀얼블레이더,294,Aura,검은색 아침등교 헤어,검은색,주황색,16,메이크업 퀸 성형,에메랄드,자수정,55,뽀송 꽃잎 피부
이하니,베라,여,엔젤릭버스터,294,순얘,보라색 라리엘 헤어,보라색,검은색,11,차차 얼굴,검은색,,0,홍조 꽃잎 피부
이하니,베라,여,엔젤릭버스터,294,순얘,초록색 라리엘 헤어,초록색,보라색,50,차차 얼굴,검은색,파란색,50,홍조 꽃잎 피부
주피터king,루나,남,나이트로드,294,모여,초록색 리엣 헤어,초록색,보라색,50,차분한 루시드 얼굴,빨간색,에메랄드,50,홍조 꽃잎 피부
팡이요,엘리시움,여,아델,294,디즈니,파란색 라리엘 헤어,파란색,갈색,41,조용한 눈 얼굴,에메랄드,갈색,71,뽀송 라벤더 피부
흑화윈,엘리시움,여,아델,294,요정,노란색 하리화 헤어,노란색,파란색,51,조용한 눈 얼굴,자수정,에메랄드,63,뽀송 꽃잎 피부
옵드,루나,남,은월,294,욘석들,검은색 상투 머리,검은색,빨간색,50,생긋 얼굴,보라색,초록색,50,홍조 꽃잎 피부
루나썬콜,루나,여,"아크메이지(썬,콜)",294,MyStage,파란색 썬콜 헤어,파란색,갈색,33,조용한 눈 얼굴,빨간색,파란색,67,뽀송 꽃잎 피부
행쇼,엘리시움,여,비숍,294,꽃나래,주황색 하이틴 걸 헤어,주황색,초록색,93,차차 얼굴,빨간색,파란색,66,뽀송 라벤더 피부
sure,크로아,남,나이트워커,294,루루,검은색 차분한 산호 헤어,검은색,보라색,16,차차 얼굴,보라색,파란색,50,뽀송 라벤더 피부
초기,스카니아,남,나이트로드,294,사랑,검은색 시원한 아침등교 헤어,검은색,노란색,16,냉소적인 아잉 얼굴,검은색,,0,홍조 꽃잎 피부
쿠몽,크로아,여,은월,294,유대,초록색 엘로디 헤어,초록색,보라색,60,차분한 헤헤 얼굴,자수정,에메랄드,63,뽀송 라벤더 피부
Chaos,크로아,여,키네시스,294,허니,초록색 아침등교 헤어,초록색,보라색,60,차분한 루시드 얼굴,에메랄드,빨간색,50,홍조 라벤더 피부
누라리한,스카니아,기타,제로,294,푸르내,검은색 아침등교 헤어,검은색,갈색,22,조용한 눈 얼굴,에메랄드,보라색,50,창백 피부
누라리한,스카니아,기타,제로,294,푸르내,노란색 안젤라 헤어,노란색,보라색,50,조용한 눈 얼굴,파란색,보라색,50,창백 피부
Fake,베라,남,나이트워커,294,반달,검은색 시원한 아침등교 헤어,검은색,주황색,16,졸린 얼굴,에메랄드,자수정,50,홍조 라벤더 피부
민창,루나,남,듀얼블레이더,294,루나,검은색 골목대장 헤어,검은색,,0,깨도잉 얼굴,검은색,,0,홍조 라벤더 피부
알샤,스카니아,남,나이트로드,294,사랑,검은색 다크 허쉬 헤어,검은색,초록색,33,졸린 얼굴,검은색,빨간색,22,뽀송 라벤더 피부
구랙,크로아,남,"아크메이지(불,독)",293,치치,검은색 채운 헤어,검은색,보라색,25,졸린 얼굴,파란색,에메랄드,50,홍조 라벤더 피부
먹음쟁이,이노시스,남,키네시스,293,바다,초록색 루야 헤어,초록색,파란색,65,은은한 루어 얼굴,초록색,빨간색,50,홍조 꽃잎 피부
법행,엘리시움,남,"아크메이지(불,독)",293,보스,갈색 블링 수호 헤어,갈색,초록색,50,차분한 루시드 얼굴,검은색,빨간색,16,뽀송 꽃잎 피부
으파,오로라,남,데몬어벤져,293,은인,노란색 채운 헤어,노란색,검은색,76,멍한 얼굴,검은색,파란색,50,뽀송 라벤더 피부
갠갈,엘리시움,남,듀얼블레이더,293,갱이와,초록색 깜찍 뿔뿔이 헤어,초록색,보라색,62,조용한 눈 얼굴,검은색,갈색,50,홍조 꽃잎 피부
학살자펭귄,오로라,남,캡틴,293,피너,검은색 리커버 헤어,검은색,갈색,50,뮤트 얼굴,갈색,파란색,50,홍조 꽃잎 피부
초코빵내꺼야,엘리시움,여,카데나,293,디즈니,검은색 새내기 헤어,검은색,초록색,89,조용한 눈 얼굴,파란색,갈색,50,뽀송 라벤더 피부
끅예,엘리시움,남,에반,293,디즈니,검은색 에반 남자 머리,검은색,주황색,12,멍한 얼굴,검은색,,0,뽀송 꽃잎 피부
남살프,엘리시움,남,와일드헌터,293,송이,초록색 월령 헤어,초록색,갈색,19,졸린 얼굴,파란색,갈색,50,뽀송 꽃잎 피부
슈탱,크로아,여,아델,293,지존,파란색 엘로디 헤어,파란색,갈색,30,조용한 눈 얼굴,에메랄드,갈색,72,홍조 라벤더 피부
쌍초늬,베라,여,에반,293,Aura,검은색 바로등교 헤어,검은색,갈색,20,꿈꾸는 얼굴,검은색,보라색,50,홍조 꽃잎 피부
페북,크로아,남,루미너스,293,돌정령,주황색 쿼츠 헤어,주황색,파란색,50,쪼꼬미 얼굴,에메랄드,자수정,50,홍조 꽃잎 피부
ifthenelse,크로아,남,메르세데스,293,Shiny,검은색 보우마스터 헤어,검은색,갈색,41,갈고리 얼굴,갈색,에메랄드,50,홍조 라벤더 피부
어서,루나,여,신궁,293,스타,노란색 깜찍 뿔뿔이 헤어,노란색,보라색,50,조용한 눈 얼굴,검은색,,0,뽀송 꽃잎 피부
쫑쫑종옹,루나,남,나이트로드,293,뚠카롱,보라색 후유 헤어,보라색,빨간색,50,도발적인 아잉 얼굴,검은색,파란색,50,뽀송 꽃잎 피부
야한책,루나,여,신궁,293,땃쥐,갈색 리르하 헤어,갈색,검은색,76,졸린 조용한 얼굴,자수정,에메랄드,50,뽀송 라벤더 피부
Marksbowman,유니온,남,보우마스터,293,늙은밤,초록색 포숑 헤어,초록색,빨간색,50,도발적인 아잉 얼굴,파란색,검은색,50,밀키 피부
시들어가는날,엘리시움,여,히어로,293,LUSH,노란색 기사단 소울마스터 헤어,노란색,,0,은월 얼굴,검은색,,0,뽀송 꽃잎 피부
한수녀,제니스,여,나이트로드,293,까망,검은색 안개 아멜리 헤어,검은색,갈색,50,조용한 눈 얼굴,에메랄드,갈색,71,뽀송 꽃잎 피부
수정과,루나,여,아델,293,하늘,파란색 새턴 헤어,파란색,갈색,50,헤헤 얼굴,보라색,검은색,50,뽀송 라벤더 피부
별칸나,크로아,여,팔라딘,293,Camellia,검은색 플로렌스 헤어,검은색,초록색,20,조용한 눈 얼굴,에메랄드,갈색,71,뽀송 라벤더 피부
곰돌이,루나,여,비숍,293,해라,빨간색 핑키웨이 헤어,빨간색,초록색,61,깨냉잉 얼굴,검은색,,0,뽀송 라벤더 피부
배구,엘리시움,남,"아크메이지(썬,콜)",293,BOSS,초록색 깜찍 뿔뿔이 헤어,초록색,보라색,67,조용한 눈 얼굴,자수정,에메랄드,50,뽀송 라벤더 피부
딜동차,스카니아,남,나이트로드,293,태초,파란색 페어리 헤어,파란색,갈색,90,도발적인 아잉 얼굴,자수정,초록색,50,뽀송 꽃잎 피부
공주,루나,여,비숍,293,욘석들,검은색 블링 신비 헤어,검은색,주황색,41,졸린 조용한 얼굴,초록색,갈색,77,뽀송 라벤더 피부
영돌,스카니아,남,소울마스터,293,사랑,노란색 블링 채운 헤어,노란색,보라색,67,멍한 얼굴,빨간색,파란색,50,홍조 라벤더 피부
최고,엘리시움,남,아란,293,Windy,초록색 다크 허쉬 헤어,초록색,보라색,40,멍한 오드아이 얼굴,자수정,갈색,57,뽀송 라벤더 피부
성조,베라,남,히어로,293,TestG027,노란색 동백 헤어,노란색,,0,차분한 루시드 얼굴,빨간색,,0,뽀송 라벤더 피부
문도,엘리시움,여,패스파인더,293,고치,검은색 안젤라 헤어,검은색,갈색,10,졸린 조용한 얼굴,자수정,에메랄드,50,뽀송 라벤더 피부
맛살,스카니아,남,캐논마스터,293,맛탕,검은색 블링 블레이 헤어,검은색,주황색,24,멍한 얼굴,검은색,파란색,23,뽀송 라벤더 피부
꾸장,엘리시움,남,나이트로드,293,디즈니,갈색 시엘 헤어,갈색,파란색,50,차차 얼굴,검은색,,0,뽀송 라벤더 피부
채만,이노시스,남,팔라딘,293,백선,검은색 시엘 헤어,검은색,초록색,22,멍한 얼굴,파란색,검은색,50,뽀송 라벤더 피부
그건아,레드,남,은월,293,순하리,갈색 보송보송 민들레 꽃씨 헤어,갈색,검은색,50,뭐요 얼굴,빨간색,자수정,50,옥구슬 피부
꼬기사장,오로라,남,다크나이트,293,뷰티,보라색 데어데블 헤어,보라색,파란색,50,차분한 루시드 얼굴,보라색,검은색,50,뽀송 꽃잎 피부
이보영,크로아,여,윈드브레이커,293,생글,보라색 안개 셀린 헤어,보라색,파란색,50,차차 얼굴,파란색,검은색,50,뽀송 라벤더 피부
암거그,제니스,남,아란,293,모델,파란색 애쉬 페르 헤어,파란색,갈색,50,차분한 루시드 얼굴,검은색,,0,뽀송 꽃잎 피부
강돌,루나,여,섀도어,293,지존,파란색 포니 엘피네 헤어,파란색,노란색,50,조용한 눈 얼굴,갈색,자수정,50,홍조 꽃잎 피부
피거,크로아,남,와일드헌터,293,생글,검은색 리커버 헤어,검은색,보라색,25,졸린 얼굴,빨간색,파란색,67,뽀송 꽃잎 피부
재진,엘리시움,남,아란,293,DEEP,검은색 플로리안 헤어,검은색,파란색,23,멍한 얼굴,검은색,파란색,23,뽀송 꽃잎 피부
가을씨,오로라,여,루미너스,293,우길비,파란색 발랄웨이브 헤어,파란색,갈색,33,조용한 눈 얼굴,빨간색,에메랄드,50,홍조 라벤더 피부
여니,루나,남,패스파인더,293,도로시,파란색 리엣 헤어,파란색,갈색,50,차분한 루시드 얼굴,파란색,자수정,50,홍조 꽃잎 피부
Aufgabe,제니스,여,배틀메이지,293,청린,보라색 블랑슈 헤어,보라색,검은색,23,안개비 얼굴,보라색,파란색,50,홍조 꽃잎 피부
캡존탁,크로아,남,블래스터,293,마린,노란색 둥실 양구름 헤어,노란색,,0,각성 그대 얼굴,빨간색,,0,뽀송 꽃잎 피부
지네,루나,여,"아크메이지(불,독)",293,지존,파란색 블링 하리화 헤어,파란색,갈색,63,조용한 눈 얼굴,갈색,에메랄드,58,홍조 라벤더 피부
교서,스카니아,여,신궁,293,미소,노란색 안젤라 헤어,노란색,,0,조용한 눈 얼굴,검은색,,0,뽀송 라벤더 피부
RJ115697,엘리시움,남,히어로,293,DLGetchu,검은색 조용한 헤어,검은색,노란색,12,물기 스며든 얼굴,파란색,빨간색,1,뽀송 라벤더 피부
Eilofe,유니온,남,히어로,293,쪼꼬맹이들,파란색 블링 루야 헤어,파란색,검은색,50,차분한 헤헤 얼굴,에메랄드,보라색,60,홍조 꽃잎 피부
탱이갓제논,베라,남,제논,293,보보,검은색 사이버네틱,검은색,파란색,1,침착한 눈 얼굴,파란색,,0,뽀송 꽃잎 피부
호종샴,제니스,여,아델,293,청린,파란색 치즈볼 헤어,파란색,갈색,50,차차 얼굴,검은색,파란색,23,뽀송 꽃잎 피부
푸우,루나,남,아델,293,스타,검은색 빅토리 라이더 헤어,검은색,파란색,23,멍한 얼굴,파란색,빨간색,28,뽀송 라벤더 피부
쁠이블,크로아,남,듀얼블레이더,293,봄들,파란색 플로리안 헤어,파란색,갈색,50,멍한 얼굴,자수정,에메랄드,65,홍조 꽃잎 피부
안녕별잇,유니온,남,아란,293,도로시,검은색 메모리 헤어,검은색,초록색,50,물기 스며든 얼굴,파란색,,0,뽀송 꽃잎 피부
냥이롬,스카니아,여,히어로,293,헤로인,갈색 바로등교 헤어,갈색,검은색,50,루시드 얼굴,에메랄드,보라색,28,뽀송 꽃잎 피부
휴씨엔버,루나,여,엔젤릭버스터,293,Cross,검은색 라리엘 헤어,검은색,파란색,35,차차 얼굴,파란색,보라색,50,홍조 꽃잎 피부
휴씨엔버,루나,여,엔젤릭버스터,293,Cross,검은색 매화 헤어,검은색,초록색,23,한 입만 얼굴,에메랄드,갈색,71,뽀송 라벤더 피부
별바람,크로아,여,윈드브레이커,293,허니,초록색 라리엘 헤어,초록색,보라색,77,조용한 눈 얼굴,빨간색,에메랄드,58,뽀송 꽃잎 피부
도비,엘리시움,여,와일드헌터,293,S2S2,주황색 스테리 헤어,주황색,파란색,50,멈한 멀굴,갈색,초록색,50,홍조 꽃잎 피부
천당,스카니아,남,팔라딘,293,댓글,초록색 시간의나라 흰토끼 헤어,초록색,갈색,57,차분한 루시드 얼굴,갈색,파란색,43,뽀송 라벤더 피부
깽키,루나,남,카이저,293,Fairplay,검은색 플로리안 헤어,검은색,주황색,16,멍한 얼굴,에메랄드,자수정,37,뽀송 라벤더 피부
중곤,엘리시움,남,듀얼블레이더,293,BOSS,탈색초록 에반 남자 머리,초록색,검은색,15,졸린 얼굴,초록색,보라색,60,뽀송 라벤더 피부
글죠,루나,여,섀도어,293,지존,주황색 라리엘 헤어,주황색,파란색,64,조용한 눈 얼굴,자수정,에메랄드,64,뽀송 라벤더 피부
지봉이,루나,여,나이트워커,293,Rebirth,보라색 엘로디 헤어,보라색,초록색,50,순수 디어 얼굴,에메랄드,빨간색,50,홍조 라벤더 피부
Meeting,엘리시움,남,아크,293,아랑,검은색 아렌 헤어,검은색,보라색,50,뮤트 얼굴,빨간색,,0,뽀송 라벤더 피부
내가준느,유니온,여,엔젤릭버스터,293,고준서,보라색 아침등교 헤어,보라색,빨간색,49,차분한 헤헤 얼굴,에메랄드,파란색,50,뽀송 꽃잎 피부
내가준느,유니온,여,엔젤릭버스터,293,고준서,보라색 별구름 헤어,보라색,파란색,99,차분한 헤헤 얼굴,파란색,검은색,20,뽀송 꽃잎 피부
스포츠,스카니아,여,다크나이트,293,라임,초록색 라리엘 헤어,초록색,보라색,60,졸린 얼굴,검은색,,0,뽀송 라벤더 피부
소떡,스카니아,여,히어로,293,레전드,노란색 안개 클루 헤어,노란색,파란색,77,졸린 얼굴,보라색,초록색,50,홍조 꽃잎 피부
댕기,루나,남,아크,293,Fairplay,초록색 뾰롱이 헤어,초록색,보라색,41,깨도잉 얼굴,검은색,,0,커스텀 비비드 컬러 피부
채류아,오로라,여,아델,293,저승사자,보라색 안개 라리엘 헤어,보라색,초록색,50,조용한 눈 얼굴,검은색,,0,뽀송 꽃잎 피부
인도,크로아,남,아란,293,지존,검은색 테디 헤어,검은색,노란색,28,깨도잉 얼굴,에메랄드,자수정,50,홍조 라벤더 피부
성꽃,베라,남,팬텀,293,휘잉,노란색 영웅 팬텀 헤어,노란색,검은색,1,샤이닝 얼굴,초록색,에메랄드,99,뽀송 꽃잎 피부
딸긔,크로아,여,아델,293,지존,초록색 라일락 헤어,초록색,노란색,14,아잉 얼굴,검은색,,0,스피넬 피부
훅지른캐릭Il,이노시스,남,다크나이트,293,해월,검은색 페어리 헤어,검은색,,0,멍한 얼굴,검은색,자수정,50,뽀송 꽃잎 피부
초림,베라,남,패스파인더,293,레클,보라색 안젤로 헤어,보라색,갈색,59,제롬 얼굴,에메랄드,자수정,50,홍조 꽃잎 피부
남한,스카니아,남,에반,292,리더,검은색 플로리안 헤어,검은색,초록색,16,멍한 얼굴,파란색,보라색,50,홍조 라벤더 피부
동연,루나,남,나이트로드,292,탐험,파란색 사고뭉치 헤어,파란색,갈색,60,졸린 얼굴,파란색,검은색,50,뽀송 라벤더 피부
네코,스카니아,여,듀얼블레이더,292,잉잉,갈색 라리엘 헤어,갈색,빨간색,50,꼬맹이 얼굴,빨간색,에메랄드,52,홍조 라벤더 피부
보룬,크로아,기타,제로,292,키티,파란색 데이즈 헤어,파란색,보라색,29,차차 얼굴,파란색,자수정,16,홍조 꽃잎 피부
보룬,크로아,기타,제로,292,키티,파란색 데이즈 헤어,파란색,보라색,29,차차 얼굴,파란색,보라색,16,홍조 꽃잎 피부
곱상한,루나,여,은월,292,루나,검은색 젠헤어,검은색,,0,도발적인 아잉 얼굴,자수정,갈색,50,뽀송 꽃잎 피부
창술,크로아,여,다크나이트,292,말랑,검은색 밤의 안젤라 헤어,검은색,빨간색,50,조용한 눈 얼굴,에메랄드,갈색,73,뽀송 라벤더 피부
이어징,스카니아,남,제논,292,빵빠레,검은색 플로리안 헤어,검은색,초록색,1,멍한 얼굴,검은색,파란색,11,뽀송 라벤더 피부
비올팬,엘리시움,남,팬텀,292,불빛,주황색 니키 헤어,주황색,파란색,59,차차 얼굴,빨간색,에메랄드,50,뽀송 라벤더 피부
큐랑,엘리시움,여,호영,292,잎새,보라색 안개 안젤라 헤어,보라색,,0,꼬맹이 얼굴,파란색,,0,뽀송 라벤더 피부
시기S,크로아,남,듀얼블레이더,292,허니,주황색 동백 헤어,주황색,파란색,88,볼매 얼굴,갈색,에메랄드,50,홍조 꽃잎 피부
병력,크로아,남,히어로,292,루루,파란색 루시드 헤어,파란색,갈색,58,차차 얼굴,빨간색,파란색,67,뽀송 꽃잎 피부
노래,크로아,남,듀얼블레이더,292,Baby,파란색 테디 헤어,파란색,갈색,59,깨도잉 얼굴,에메랄드,빨간색,57,홍조 라벤더 피부
욱브,스카니아,남,윈드브레이커,292,악마,검은색 블링 토벤 헤어,검은색,보라색,25,아잉 얼굴,파란색,에메랄드,50,뽀송 꽃잎 피부
니벨룽겐P,엘리시움,남,카이저,292,아리수_C,보라색 빅 포인트 헤어,보라색,빨간색,40,포로링 얼굴,검은색,자수정,50,뽀송 꽃잎 피부
솜꽃잎,크로아,여,다크나이트,292,시원,빨간색 원더 바니,빨간색,파란색,50,조용한 눈 얼굴,빨간색,초록색,50,홍조 꽃잎 피부
복복,엘리시움,남,팔라딘,292,유리,검은색 플로리안 헤어,검은색,초록색,15,졸린 얼굴,자수정,검은색,76,뽀송 라벤더 피부
귀욤,루나,여,아크,292,지존,검은색 시원한 아침등교 헤어,검은색,주황색,24,깨아잉 얼굴,검은색,빨간색,20,커스텀 뽀송 라벤더 컬러라인 피부
사슬낫의제니,루나,남,카데나,292,Rure,노란색 데이즈 헤어,노란색,갈색,45,헤헤 얼굴,자수정,빨간색,57,뽀송 꽃잎 피부
큐리링,크로아,여,배틀메이지,292,사해,보라색 펄리 헤어,보라색,초록색,50,조용한 눈 얼굴,자수정,에메랄드,65,홍조 라벤더 피부
플티아,루나,여,비숍,292,szsz,검은색 안개 셀린 헤어,검은색,,0,조용한 눈 얼굴,자수정,에메랄드,50,뽀송 라벤더 피부
싹싹,루나,여,팔라딘,292,지존,갈색 꼬마 데이즈 헤어,갈색,파란색,50,차차 얼굴,검은색,파란색,23,몬스터 핑크빈 피부
포츈베이요넷,크로아,남,에반,292,사해,검은색 리르하 헤어,검은색,노란색,23,조용한 눈 얼굴,갈색,빨간색,50,홍조 꽃잎 피부
듄뎨,제니스,남,플레임위자드,292,야호,초록색 호박머리,초록색,노란색,55,깨도잉 얼굴,검은색,보라색,50,옥구슬 피부
감귤있어요,베라,여,"아크메이지(썬,콜)",292,Felicity,파란색 썬콜 헤어,파란색,보라색,20,조용한 눈 얼굴,파란색,검은색,50,홍조 꽃잎 피부
냐무마,스카니아,여,아델,292,디드,노란색 메블리 헤어,노란색,보라색,55,차분한 헤헤 얼굴,검은색,갈색,11,홍조 꽃잎 피부
꺄앙주인,루나,남,윈드브레이커,292,솜사탕,파란색 테디 헤어,파란색,갈색,38,도발적인 아잉 얼굴,검은색,,0,뽀송 꽃잎 피부
아이코쿠마,루나,여,"아크메이지(불,독)",292,CoPys,갈색 엘로디 헤어,갈색,보라색,50,졸린 조용한 얼굴,자수정,에메랄드,50,뽀송 꽃잎 피부
주희디,유니온,여,윈드브레이커,292,Flora,주황색 라리엘 헤어,주황색,파란색,50,냉소적인 아잉 얼굴,검은색,에메랄드,50,뽀송 라벤더 피부
3DPAINT,루나,남,듀얼블레이더,292,애쁠,파란색 아로하 헤어,파란색,보라색,34,그리운 얼굴,보라색,파란색,25,뽀송 꽃잎 피부
점점,엘리시움,여,"아크메이지(썬,콜)",292,은링,초록색 엘로디 헤어,초록색,보라색,50,조용한 눈 얼굴,파란색,검은색,50,홍조 라벤더 피부
